<<<<<<< HEAD
WITHDRAWL,1,-1,200.0,Wed Feb 10 14:41:26 EST 2016,0
WITHDRAWL,1,-1,200.0,Wed Feb 10 14:41:26 EST 2016,1
DEPOSIT,22673,1888181,80000.0,Wed Feb 10 14:41:26 EST 2016,2
WITHDRAWL,1,-1,200.0,Wed Feb 10 14:41:26 EST 2016,0
WITHDRAWL,1,-1,200.0,Wed Feb 10 14:41:26 EST 2016,1
DEPOSIT,22673,1888181,80000.0,Wed Feb 10 14:41:26 EST 2016,2
TRANSFER,1,2,200.0,Wed Feb 10 14:41:27 EST 2016,3
DEPOSIT,1899888,1888181,80000.0,Wed Feb 10 14:41:27 EST 2016,4
DEPOSIT,1899888,1888181,80000.0,Wed Feb 10 14:41:27 EST 2016,5
DEPOSIT,1899888,1888181,80000.0,Wed Feb 10 14:41:27 EST 2016,6
WITHDRAWL,1,-1,200.0,Wed Feb 10 14:41:27 EST 2016,7
WITHDRAWL,1,-1,200.0,Wed Feb 10 14:41:27 EST 2016,8
WITHDRAWL,1,-1,200.0,Wed Feb 10 14:41:27 EST 2016,9
DEPOSIT,235724821272478,-1,100.0,Wed Feb 10 23:39:55 EST 2016,0
WITHDRAWL,235724821272478,-1,20.0,Wed Feb 10 23:40:08 EST 2016,1
DEPOSIT,235793206531479,-1,1.0,Wed Feb 10 23:41:02 EST 2016,2
DEPOSIT,235957997219258,-1,2000.0,Wed Feb 10 23:43:48 EST 2016,0
=======
DEPOSIT,29517293130942,-1,25.0,Wed Feb 10 22:08:21 EST 2016,0
DEPOSIT,29517293130942,-1,15.0,Wed Feb 10 22:08:21 EST 2016,1
DEPOSIT,29517340115165,-1,50.0,Wed Feb 10 22:08:21 EST 2016,2
WITHDRAWL,29517340115165,-1,20.0,Wed Feb 10 22:08:21 EST 2016,3
DEPOSIT,29517342821841,-1,25.0,Wed Feb 10 22:08:21 EST 2016,4
DEPOSIT,29517343617361,-1,50.0,Wed Feb 10 22:08:21 EST 2016,5
TRANSFER,29517342821841,29517343617361,10.0,Wed Feb 10 22:08:21 EST 2016,6
>>>>>>> eb3a89e694e177aec7d4baebf0a40e6987b96ab2
